source	target	interaction	boolean_attribute	source_attribute	target_attribute	floating_point_attribute
GLC	upt	upt	TRUE	metabolite	reaction	
upt	Glc6P	upt	TRUE	reaction	metabolite	
Glc6P	emp1	emp	TRUE	metabolite	reaction	
emp1	Fru6P	emp	TRUE	reaction	metabolite	
Fru6P	emp2	emp	TRUE	metabolite	reaction	
emp2	FruBP	emp	TRUE	reaction	metabolite	
FruBP	emp3	emp	TRUE	metabolite	reaction	
emp3	GA3P	emp	TRUE	reaction	metabolite	
emp3	GA3P	emp	TRUE	reaction	metabolite	
GA3P	emp4	emp	TRUE	metabolite	reaction	
emp4	PGA	emp	TRUE	reaction	metabolite	
PGA	emp5	emp	TRUE	metabolite	reaction	
emp5	PEP	emp	TRUE	reaction	metabolite	
PEP	emp6	emp	TRUE	metabolite	reaction	
emp6	PYR	emp	TRUE	reaction	metabolite	
Glc6P	ppp1	ppp	TRUE	metabolite	reaction	
ppp1	CO2	ppp	TRUE	reaction	metabolite	
ppp1	Rul5P	ppp	TRUE	reaction	metabolite	
Rul5P	ppp2	ppp	TRUE	metabolite	reaction	
ppp2	Xul5P	ppp	TRUE	reaction	metabolite	
Rul5P	ppp3	ppp	TRUE	metabolite	reaction	
ppp3	Rib5P	ppp	TRUE	reaction	metabolite	
Xul5P	ppp4	ppp	TRUE	metabolite	reaction	
Ery4P	ppp4	ppp	TRUE	metabolite	reaction	
ppp4	GA3P	ppp	TRUE	reaction	metabolite	
ppp4	Fru6P	ppp	TRUE	reaction	metabolite	
Xul5P	ppp5	ppp	TRUE	metabolite	reaction	
Rib5P	ppp5	ppp	TRUE	metabolite	reaction	
ppp5	Sed7P	ppp	TRUE	reaction	metabolite	
ppp5	GA3P	ppp	TRUE	reaction	metabolite	
GA3P	ppp6	ppp	TRUE	metabolite	reaction	
Sed7P	ppp6	ppp	TRUE	metabolite	reaction	
ppp6	Ery4P	ppp	TRUE	reaction	metabolite	
ppp6	Fru6P	ppp	TRUE	reaction	metabolite	
CO2	coOut	coOut	TRUE	metabolite	reaction	
coOut	CO2_out	coOut	TRUE	reaction	metabolite	
