cumomers	Glc6P:40	Fru6P:40	FruBP:40	GA3P:5	Xul5P.Rib5P:5	Rib5P:5	Rul5P:5	Xul5P:5	Xul5P.Rib5P:160	Sed7P:20	Sed7P.GA3P:20	Fru6P:20	FruBP:20	Xul5P.Ery4P:20	Xul5P.Ery4P:80	Xul5P.Ery4P:320	Xul5P:20	Xul5P.Rib5P:640	Sed7P:80	Sed7P.GA3P:80	Rul5P:20	Rib5P:20	Xul5P.Rib5P:20	PGA:5	PEP:5	Sed7P.GA3P:640	Ery4P:10	Xul5P.Ery4P:10	Fru6P:10	Sed7P.GA3P:10	Sed7P:10	Xul5P.Rib5P:80	FruBP:10	Xul5P.Ery4P:40	Sed7P.GA3P:40	Sed7P:40	Xul5P.Rib5P:320	Xul5P:10	Xul5P.Ery4P:160	Rul5P:10	Rib5P:10	Xul5P.Rib5P:10	Glc6P:48	Fru6P:48	FruBP:48	GA3P:3	Sed7P.GA3P:384	Ery4P:6	Xul5P.Ery4P:6	Fru6P:6	Sed7P.GA3P:6	Sed7P:6	Xul5P.Rib5P:48	FruBP:6	GA3P:6	PGA:6	PEP:6	Xul5P.Ery4P:384	Xul5P:24	Rul5P:24	Rib5P:24	Xul5P.Rib5P:24	Sed7P:3	Sed7P.GA3P:3	Fru6P:3	Xul5P.Ery4P:3	Ery4P:3	Sed7P.GA3P:192	FruBP:3	Xul5P.Rib5P:768	Sed7P:96	Sed7P.GA3P:96	Xul5P.Rib5P:6	Rib5P:6	Rul5P:6	Xul5P:6	Xul5P.Ery4P:96	Xul5P.Rib5P:192	Sed7P:24	Sed7P.GA3P:24	Fru6P:24	FruBP:24	Xul5P.Ery4P:24	Sed7P.GA3P:768	Ery4P:12	Xul5P.Ery4P:12	Fru6P:12	Sed7P.GA3P:12	Sed7P:12	Xul5P.Rib5P:96	Xul5P:3	Rul5P:3	Rib5P:3	Xul5P.Rib5P:3	Xul5P.Ery4P:48	FruBP:12	PGA:3	PEP:3	Xul5P.Ery4P:192	Xul5P:12	Xul5P.Rib5P:384	Sed7P:48	Sed7P.GA3P:48	Rul5P:12	Rib5P:12	Xul5P.Rib5P:12	Glc6P:36	Fru6P:36	Sed7P.GA3P:36	Sed7P:36	Xul5P.Rib5P:288	Xul5P:9	Xul5P.Ery4P:144	Rul5P:9	Rib5P:9	Xul5P.Rib5P:9	Xul5P.Ery4P:36	FruBP:36	Glc6P:33	Fru6P:33	FruBP:33	Xul5P.Ery4P:33	Sed7P.GA3P:33	Sed7P:33	Xul5P.Rib5P:264	Glc6P:34	Fru6P:34	Xul5P.Ery4P:34	Sed7P.GA3P:34	Sed7P:34	Xul5P.Rib5P:272	FruBP:34	Glc6P:9	Fru6P:9	FruBP:9	Xul5P.Ery4P:9	Ery4P:9	Sed7P.GA3P:576	Sed7P.GA3P:9	Sed7P:9	Xul5P.Rib5P:72	Glc6P:3	Glc6P:6	Glc6P:5	Fru6P:5	Xul5P.Ery4P:5	Ery4P:5	Sed7P.GA3P:320	Sed7P.GA3P:5	Sed7P:5	Xul5P.Rib5P:40	FruBP:5	Glc6P:18	Fru6P:18	FruBP:18	Sed7P.GA3P:18	Sed7P:18	Xul5P.Rib5P:144	Xul5P.Ery4P:18	Rul5P:18	Xul5P:18	Xul5P.Rib5P:576	Sed7P:72	Sed7P.GA3P:72	Xul5P.Ery4P:288	Rib5P:18	Xul5P.Rib5P:18	Glc6P:17	Rul5P:17	Rib5P:17	Xul5P.Rib5P:17	Xul5P:17	Xul5P.Ery4P:272	Xul5P.Rib5P:544	Sed7P:68	Sed7P.GA3P:68	Fru6P:17	Xul5P.Ery4P:17	FruBP:17	Sed7P.GA3P:17	Sed7P:17	Xul5P.Rib5P:136	Glc6P:12	Glc6P:10	Glc6P:24	Glc6P:20	Xul5P.Rib5P:132	Xul5P.Ery4P:264	Xul5P.Rib5P:516	Sed7P.GA3P:288	Xul5P.Rib5P:257	Sed7P.GA3P:544	Xul5P.Rib5P:258	Sed7P.GA3P:272	Sed7P.GA3P:160	Xul5P.Rib5P:68	Sed7P.GA3P:65	Sed7P:65	Xul5P.Rib5P:520	Sed7P.GA3P:66	Sed7P:66	Xul5P.Rib5P:528	Sed7P.GA3P:513	Sed7P.GA3P:514	Xul5P.Ery4P:260	Xul5P.Ery4P:257	Sed7P.GA3P:130	Sed7P.GA3P:516	Sed7P.GA3P:132	Xul5P.Rib5P:130	Sed7P.GA3P:136	Xul5P.Ery4P:130	Xul5P.Ery4P:132	Xul5P.Ery4P:136	Xul5P.Rib5P:36	Xul5P.Rib5P:34	Xul5P.Rib5P:33	Sed7P.GA3P:129	Xul5P.Rib5P:129	Sed7P.GA3P:528	Xul5P.Ery4P:129	Xul5P.Ery4P:68	Xul5P.Ery4P:66	Xul5P.Ery4P:65	Xul5P.Rib5P:514	Xul5P.Rib5P:513	Sed7P.GA3P:520	Xul5P.Ery4P:72	Sed7P.GA3P:144	Xul5P.Rib5P:65	Xul5P.Rib5P:66	Xul5P.Rib5P:260	Sed7P.GA3P:258	Sed7P.GA3P:257	Xul5P.Ery4P:258	Sed7P.GA3P:264	Sed7P.GA3P:260	b
Glc6P:40	ppp1.fwd+emp1.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	upt.fwd*(GLC:40)
Fru6P:40	-(emp1.fwd)	ppp6.s.rev+emp2.fwd+ppp4.s.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp4.s.fwd)	-(ppp6.s.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FruBP:40	0	-(emp2.fwd)	emp3.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GA3P:5	0	0	-(2*emp3.fwd)	ppp6.f.fwd+ppp5.s.rev+ppp4.s.rev+emp4.fwd	-(ppp5.s.fwd)	0	0	0	0	0	0	0	0	0	0	-(ppp4.s.fwd)	0	0	0	0	0	0	0	0	0	-(ppp6.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(2*emp3.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Rib5P:5	0	0	0	-(ppp5.s.rev)	ppp5.f.rev+ppp5.s.fwd	-(ppp5.f.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rib5P:5	0	0	0	0	-(ppp5.f.rev)	ppp5.f.fwd+ppp3.rev	-(ppp3.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rul5P:5	0	0	0	0	0	-(ppp3.rev)	ppp2.fwd+ppp3.fwd	-(ppp2.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-(ppp1.fwd)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P:5	0	0	0	0	0	0	-(ppp2.fwd)	ppp4.f.fwd+ppp5.f.fwd+ppp2.rev	-(ppp5.f.rev)	0	0	0	0	0	-(ppp4.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xul5P.Rib5P:160	0	0	0	0	0	0	0	-(ppp5.f.fwd)	ppp5.f.rev+ppp5.s.fwd	-(ppp5.s.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sed7P:20	0	0	0	0	0	0	0	0	-(ppp5.s.fwd)	ppp6.f.fwd+ppp5.s.rev	-(ppp6.f.rev)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
