cumomers	Xul5P.Rib5P:1021	Sed7P.GA3P:1007	Xul5P.Rib5P:1022	Xul5P.Rib5P:511	Sed7P.GA3P:1021	Sed7P.GA3P:895	Xul5P.Rib5P:1019	Xul5P.Rib5P:1007	Xul5P.Ery4P:511	Sed7P.GA3P:511	Sed7P.GA3P:767	Sed7P.GA3P:991	Sed7P.GA3P:1019	Xul5P.Rib5P:767	Sed7P.GA3P:959	Sed7P.GA3P:1015	Xul5P.Rib5P:991	Xul5P.Rib5P:895	Xul5P.Rib5P:959	Xul5P.Rib5P:1015	Sed7P.GA3P:1022	b
Xul5P.Rib5P:1021	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:5*Sed7P:127)+ppp5.f.fwd*(Xul5P:31*Rib5P:29)
Sed7P.GA3P:1007	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Fru6P:47*Ery4P:15)+ppp6.f.fwd*(Sed7P:111*GA3P:7)
Xul5P.Rib5P:1022	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:127*GA3P:6)+ppp5.f.fwd*(Xul5P:31*Rib5P:30)
Xul5P.Rib5P:511	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:63*GA3P:7)+ppp5.f.fwd*(Xul5P:15*Rib5P:31)
Sed7P.GA3P:1021	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:15*Fru6P:61)+ppp6.f.fwd*(Sed7P:125*GA3P:7)
Sed7P.GA3P:895	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:13*Fru6P:63)+ppp6.f.fwd*(Sed7P:127*GA3P:6)
Xul5P.Rib5P:1019	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:3*Sed7P:127)+ppp5.f.fwd*(Xul5P:31*Rib5P:27)
Xul5P.Rib5P:1007	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:125*GA3P:7)+ppp5.f.fwd*(Rib5P:15*Xul5P:31)
Xul5P.Ery4P:511	0	0	0	0	0	0	0	0	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.s.rev*(Fru6P:63*GA3P:7)+ppp4.f.fwd*(Xul5P:31*Ery4P:15)
Sed7P.GA3P:511	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:7*Fru6P:63)+ppp6.f.fwd*(GA3P:3*Sed7P:127)
Sed7P.GA3P:767	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:11*Fru6P:63)+ppp6.f.fwd*(GA3P:5*Sed7P:127)
Sed7P.GA3P:991	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:15*Fru6P:31)+ppp6.f.fwd*(GA3P:7*Sed7P:95)
Sed7P.GA3P:1019	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:15*Fru6P:59)+ppp6.f.fwd*(Sed7P:123*GA3P:7)
Xul5P.Rib5P:767	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:7*Sed7P:95)+ppp5.f.fwd*(Xul5P:23*Rib5P:31)
Sed7P.GA3P:959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:14*Fru6P:63)+ppp6.f.fwd*(Sed7P:63*GA3P:7)
Sed7P.GA3P:1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	ppp6.s.rev*(Fru6P:55*Ery4P:15)+ppp6.f.fwd*(Sed7P:119*GA3P:7)
Xul5P.Rib5P:991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	ppp5.s.rev*(Sed7P:123*GA3P:7)+ppp5.f.fwd*(Xul5P:30*Rib5P:31)
Xul5P.Rib5P:895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	ppp5.s.rev*(Sed7P:111*GA3P:7)+ppp5.f.fwd*(Rib5P:31*Xul5P:27)
Xul5P.Rib5P:959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	ppp5.s.rev*(Sed7P:119*GA3P:7)+ppp5.f.fwd*(Xul5P:29*Rib5P:31)
Xul5P.Rib5P:1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	ppp5.s.rev*(GA3P:7*Sed7P:126)+ppp5.f.fwd*(Xul5P:31*Rib5P:23)
Sed7P.GA3P:1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	ppp6.s.rev*(Ery4P:15*Fru6P:62)+ppp6.f.fwd*(GA3P:7*Sed7P:126)
