flux	coOut.fwd	emp1.fwd	emp2.fwd	emp3.fwd	emp4.fwd	emp5.fwd	emp6.fwd	ppp1.fwd	ppp2.fwd	ppp2.rev	ppp3.fwd	ppp3.rev	ppp4.fwd	ppp4.rev	ppp5.fwd	ppp5.rev	ppp6.fwd	ppp6.rev	upt.fwd	b
Sed7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
FruBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
PGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
PEP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Rib5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Fru6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Ery4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
GA3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Xul5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Rul5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
Glc6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.
upt.uptake	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
